society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,latitude,longitude
tulip yellow,Sector 69 ,2.32,13615.0,3,3,3+,15,West,Relatively New,1466.0,0,0,1,0,0,Unknown,9,28.39371144423289,77.0363509349158
godrej frontier,Sector 80 ,2.3,10168.0,3,4,3,14,East,Moderately Old,2016.0,0,1,0,1,0,Semi-Furnished,11,28.375155555555555,76.95696944444445
godrej icon,Sector 88A ,3.12,13466.0,4,4,3,28,East,Moderately Old,1973.0,1,1,1,1,0,Furnished,22,28.431857099722222,76.9504569
lotus elise,Dwarka Expressway ,2.61,12578.0,3,4,3+,1,North,Relatively New,2385.0,0,1,0,0,0,Furnished,0,28.454317083333333,76.96107480555555
tata primanti,Sector 72 ,4.75,16351.0,4,5,3+,22,North-East,Relatively New,3339.0,0,0,0,0,1,Semi-Furnished,0,28.4075,77.03581944444444
emaar palm gardens,Sector 83 ,2.2,12791.0,3,3,3,10,North-East,Relatively New,1396.0,0,1,0,0,0,Semi-Furnished,12,28.395183649798348,76.97240844142195
hero homes,Sector 104 ,2.42,14328.0,3,3,3,34,North,New Property,1464.0,0,0,0,1,0,Semi-Furnished,6,28.48718333333333,76.99658055555555
hero homes,Sector 104 ,1.75,15924.0,2,2,2,15,North-East,New Property,1263.0,0,0,0,1,0,Semi-Furnished,6,28.483520493217547,76.99373160048867
ramprastha primera,Sector 37D ,1.75,9859.0,3,3,3+,14,North-East,Relatively New,1582.0,0,0,0,1,0,Semi-Furnished,0,28.452222222222225,76.97319722222223
sare homes,Sector 92 ,0.95,9500.0,2,2,3,3,North,Moderately Old,1149.0,0,0,0,1,0,Semi-Furnished,12,28.413272222222226,76.91415277777779
shree vardhman victoria,Sector 70 ,2.5,12821.0,3,5,3,11,North,Relatively New,1536.0,0,1,0,0,0,Semi-Furnished,0,28.3933081,77.0170226
bestech park view city 2,Sector 49 ,3.75,17418.0,3,3,3+,9,East,Relatively New,2000.0,1,1,0,0,0,Furnished,0,28.4030016,77.0457718
tata primanti,Sector 72 ,4.95,17040.0,4,5,3+,36,North,Relatively New,2475.0,0,1,0,0,0,Semi-Furnished,0,28.4053027,77.0366618
m3m antalya hills,Sector 79 ,1.7,10918.0,3,3,2,3,East,New Property,1388.0,1,1,0,0,0,Semi-Furnished,13,28.35869166666667,76.97203888888889
m3m heights,Sector 65 ,3.77,18177.0,3,4,3+,28,East,New Property,2010.0,0,1,0,0,0,Semi-Furnished,6,28.405016666666665,77.066425
mapsko paradise,Sector 83 ,1.25,9328.0,3,3,3,10,East,New Property,1194.0,0,0,0,0,1,Semi-Furnished,0,28.39881920857079,76.9619253161709
ats kocoon,Sector 109 ,2.85,13604.0,3,4,3,5,East,Relatively New,2408.0,1,0,0,0,0,Semi-Furnished,18,28.508602,77.002116
mapsko mount ville,Sector 79 ,2.15,14430.0,3,3,3,18,East,Relatively New,1490.0,1,0,0,0,0,Semi-Furnished,1,28.360421,76.9695951
dlf new town heights 2,Sector 86 ,2.1,10881.0,3,4,3+,12,East,Relatively New,1700.0,0,1,0,0,0,Semi-Furnished,0,28.402012,76.9378184
tulip monsella,Sector 53 ,15.75,34977.0,5,6,3+,22,East,Relatively New,3828.0,1,1,1,1,0,Furnished,20,28.43721817449317,77.10059680614926
ireo the corridors,Sector 67A ,3.25,16813.0,3,3,3,12,North-East,Relatively New,1567.0,1,1,0,1,0,Semi-Furnished,18,28.3822900669031,77.06717696418222
dlf new town heights 1,Sector 90 ,2.8,10268.0,4,4,3+,7,West,Relatively New,2430.0,0,1,0,1,0,Unknown,0,28.4071643,76.9321888
dlf the skycourt,Sector 86 ,2.35,12170.0,3,3,3+,15,East,Relatively New,1721.0,0,0,0,0,1,Unknown,1,28.397441666666666,76.93455
ireo the corridors,Sector 67A ,3.2,16667.0,3,4,2,3,North,Moderately Old,1910.0,0,1,0,0,1,Semi-Furnished,7,28.38254740397222,77.06754952669444
ireo uptown,Sector 66 ,3.8,18519.0,4,4,3,15,South-East,Moderately Old,2050.0,0,1,0,0,1,Semi-Furnished,0,28.39843261386111,77.06001285463888
dlf new town heights 2,Sector 86 ,2.52,10696.0,4,4,3+,12,East,Moderately Old,2056.0,0,1,0,1,0,Semi-Furnished,3,28.4026192,76.9379732
unitech harmony,Nirvana Country,3.5,13343.0,3,4,2,2,North-East,Relatively New,2338.0,0,1,1,0,0,Semi-Furnished,0,28.411914,77.0590964
sobha city,Sector 108 ,6.5,22406.0,4,4,3+,14,North-East,New Property,2586.0,0,1,0,0,0,Unknown,6,28.5175511,76.9955551
ireo the corridors,Sector 67A ,2.12,16061.0,2,2,2,10,East,Moderately Old,1320.0,1,0,0,0,0,Semi-Furnished,7,28.381966894093924,77.0672859996554
indiabulls enigma,Sector 110 ,4.85,14265.0,4,5,3,8,West,Relatively New,3030.0,0,1,0,0,0,Semi-Furnished,2,28.501152099722223,77.0104136
the retreat,South City 1,2.55,21040.0,2,2,1,8,East,Old Property,1393.0,0,1,0,0,0,Unknown,3,28.462220972222223,77.06516897222222
dlf park place,Sector 54 ,10.25,37963.0,4,4,3,3,South-East,Relatively New,3103.0,1,1,0,1,0,Furnished,3,28.443808333333333,77.10946666666666
dlf the ultima,Sector 81 ,4.95,17284.0,4,4,3+,11,West,Relatively New,2564.0,0,1,0,0,0,Furnished,19,28.38928888888889,76.95263055555556
unitech fresco,Nirvana Country,2.45,14566.0,3,2,3+,16,East,Relatively New,1611.0,0,0,0,1,0,Semi-Furnished,0,28.4086267,77.06058
bestech park view residency,Palam Vihar,2.6,13542.0,3,4,3+,8,East,Moderately Old,1711.0,0,1,0,0,0,Semi-Furnished,7,28.4982463,77.0225985
piedmont taksila heights,Sector 37C ,2.1,10870.0,4,4,3+,6,East,Moderately Old,2221.0,0,1,0,0,0,Semi-Furnished,0,28.44833,76.98561
imperia the esfera,Sector 37C ,2.69,8006.0,4,5,3+,16,North-East,Relatively New,2849.0,0,0,0,0,1,Unknown,4,28.44902716925792,76.98667487236348
m3m crown,Sector 111 ,3.58,16498.0,3,3,1,6,North-East,Under Construction,1934.0,0,1,0,1,0,Unknown,0,28.524139736329,77.032146044042
sobha city,Sector 108 ,5.25,22407.0,4,4,0,9,North-West,New Property,2343.0,1,0,0,0,0,Unknown,3,28.516628873537066,76.9963553633941
ireo the corridors,Sector 67A ,3.42,17100.0,2,2,2,10,North-West,Relatively New,1753.0,1,1,0,1,0,Furnished,6,28.38528,77.06971597222221
block c,Palam Vihar,2.25,14516.0,3,3,2,2,North-East,Old Property,1782.0,1,0,0,0,0,Semi-Furnished,21,28.512783,77.036893
dlf new town heights 1,Sector 90 ,3.0,11001.0,4,4,3+,22,North-East,Moderately Old,2255.0,0,1,0,0,0,Semi-Furnished,2,28.4029683,76.930872
bestech altura,Sector 79 ,2.48,11535.0,3,4,3,9,North-East,Relatively New,1916.0,0,1,0,0,0,Semi-Furnished,0,28.358300906931746,76.97344070164236
godrej meridien,Sector 106 ,2.8,15094.0,3,3,3,9,North,Relatively New,1653.0,0,1,0,0,0,Semi-Furnished,19,28.5071714,76.9887202
ashiana anmol,Sohna,1.78,11657.0,3,3,2,8,North-East,New Property,1361.0,0,1,0,0,0,Unknown,3,28.2865972,77.071169
tulip purple,Sector 69 ,2.75,11458.0,4,5,3+,6,East,Moderately Old,2139.0,0,1,0,0,0,Unknown,10,28.39566689358371,77.03213229879931
hero homes,Sector 104 ,1.97,14496.0,3,2,2,10,North-East,New Property,1359.0,0,1,0,0,0,Semi-Furnished,12,28.4837492,76.993589
microtek greenburg,Sector 86 ,2.1,14189.0,2,2,3,10,North-East,Relatively New,1200.0,1,0,0,0,0,Furnished,0,28.395981817282497,76.94446594525049
greenopolis,Sector 89 ,1.78,9319.0,3,3,2,15,North-East,New Property,1771.0,1,1,0,1,0,Unknown,24,28.422015,76.943177
smartworld one dxp,Sector 113  ,4.1,15787.0,4,5,3+,12,North,Relatively New,2315.0,0,1,0,0,0,Unknown,2,28.5324813,77.01872919972222
dlf the skycourt,Sector 86 ,2.25,11664.0,3,3,3,12,East,Relatively New,1664.0,0,0,0,0,1,Furnished,22,28.3974953,76.9368747
m3m heights,Sector 65 ,2.5,19826.0,2,2,3,18,West,Relatively New,1260.0,0,0,0,0,1,Semi-Furnished,24,28.4058589,77.0669994
dlf privana west,Sector 76 ,8.0,22365.0,4,4,3+,27,East,Under Construction,3188.0,0,0,0,0,1,Unknown,0,28.384295,76.98957
experion the heartsong,Sector 108 ,3.0,11403.0,4,5,3+,5,East,Relatively New,2088.21,1,0,0,0,0,Semi-Furnished,14,28.5113536932702,76.98384948622684
umang winter hills,Sector 77 ,1.34,9985.0,2,2,2,7,North,Relatively New,1300.0,1,0,0,0,0,Semi-Furnished,9,28.38250709303956,76.97931919455908
ild greens,Sector 37C ,1.68,7977.0,3,4,2,10,East,New Property,1877.0,0,1,0,0,0,Unknown,4,28.451094444444443,76.98483333333333
ireo skyon,Sector 60 ,5.85,20893.0,4,4,3,32,North-West,Relatively New,2512.0,0,1,0,0,0,Semi-Furnished,0,28.40019990733241,77.09709854346978
signature global titanium spr,Sector 71 ,6.6,17460.0,4,5,3+,1,East,Under Construction,3369.0,1,1,1,1,0,Furnished,0,28.411167241078,77.023357386496
satya the hermitage,Sector 103 ,1.75,8790.0,3,4,3+,5,North-East,Moderately Old,1775.0,0,1,0,0,0,Semi-Furnished,0,28.495249346550946,76.98938873017275
awho sispal vihar,Sector 49 ,2.55,14382.0,3,3,3+,7,North-West,Moderately Old,1580.0,0,0,0,1,0,Semi-Furnished,0,28.4142213,77.04390929972222
ats triumph,Sector 104 ,4.15,13175.0,3,3,3+,25,East,Relatively New,2900.0,0,1,0,0,0,Unknown,6,28.477248535402,76.986079172918
eldeco acclaim,Sohna,1.28,10079.0,2,2,2,8,North-East,New Property,1132.0,0,1,0,0,0,Unknown,5,28.2590569,77.0642819
bptp terra,Sector 37D ,2.15,11872.0,3,3,3,6,North-East,Relatively New,1537.0,0,0,0,0,1,Semi-Furnished,16,28.4567555,76.9735851
dlf the ultima,Sector 81 ,4.95,16999.0,4,4,3+,6,West,Moderately Old,2500.0,0,1,0,0,0,Furnished,17,28.3888514,76.9500664
dlf the ultima,Sector 81 ,3.5,16317.0,3,3,2,23,South,Relatively New,2140.0,0,1,0,0,0,Semi-Furnished,0,28.3890447,76.9486634
bestech park view city 2,Sector 49 ,3.29,17698.0,3,4,3,4,North,Old Property,1657.0,0,1,0,0,0,Semi-Furnished,2,28.40340738209491,77.0454941884456
umang winter hills,Sector 77 ,1.36,10134.0,2,2,2,3,North-East,Relatively New,1196.0,0,1,0,0,0,Semi-Furnished,15,28.3815938,76.9792908
vipul lavanya,Sector 81 ,1.5,9615.0,3,3,3,11,East,Old Property,1281.0,0,1,0,0,0,Semi-Furnished,0,28.3872236,76.9405547
ats marigold,Sector 89 A ,2.55,14571.0,3,3,3+,4,East,Relatively New,1750.0,0,1,0,0,0,Unknown,6,28.4372815,76.946591
ashiana anmol,Sector-33 Sohna,1.75,11460.0,3,3,3,8,North,New Property,1200.0,0,0,0,1,0,Semi-Furnished,18,28.2866985,77.0706445
emaar mgf the palm drive,Sector 66 ,7.45,19605.0,4,4,3+,11,North-East,Old Property,3791.0,0,1,0,0,0,Furnished,0,28.40281097758597,77.0517206938401
dlf park place,Sector 54 ,9.5,34914.0,4,4,3+,23,North,Moderately Old,2425.0,1,1,1,1,0,Furnished,25,28.44400555555556,77.11003333333333
bestech park view spa next,Sector 67 ,4.15,15456.0,4,5,3,14,North,Moderately Old,2100.0,0,1,0,0,0,Semi-Furnished,6,28.38971388888889,77.05536666666666
ireo the corridors,Sector 67A ,2.71,15692.0,3,3,2,3,North-East,Relatively New,1414.0,0,0,1,1,0,Semi-Furnished,0,28.38435277777777,77.0680611111111
tulip purple,Sector 69 ,2.77,11542.0,4,5,3+,4,North-East,Relatively New,2139.0,0,1,0,0,0,Unknown,25,28.3959694,77.0322792
tulip yellow,Sector 69 ,2.34,13732.0,3,3,3+,21,North,New Property,1500.0,0,0,0,0,1,Unknown,10,28.3936771,77.0367638
ireo uptown,Sector 66 ,3.85,18762.0,4,4,3,16,South,Moderately Old,2050.0,0,1,0,0,0,Semi-Furnished,0,28.39843261386111,77.06001285463888
emaar mgf the palm drive,Sector 66 ,4.5,20455.0,3,3,2,15,East,Moderately Old,1961.0,0,1,0,0,0,Furnished,10,28.40095216688016,77.0518063009342
ireo the grand arch,sector 58 ,5.3,24492.0,3,4,3,15,South-West,Relatively New,1913.0,0,1,0,0,0,Semi-Furnished,24,28.4133565,77.1121451
bestech park view spa next,Sector 67 ,3.1,15776.0,3,3,3+,11,South,Moderately Old,1751.0,0,1,0,0,0,Semi-Furnished,9,28.3894367,77.0552709
paras dews,Sector 106 ,1.62,11697.0,2,2,3+,2,West,Relatively New,940.0,0,1,0,0,0,Semi-Furnished,0,28.4987352,77.0000388
ireo the grand arch,sector 58 ,5.15,23689.0,3,3,2,7,East,Relatively New,2174.0,1,1,0,0,0,Furnished,10,28.413067480947323,77.11290266364658
ashiana anmol,Sohna,2.1,11824.0,3,3,3,14,North-East,New Property,1469.0,1,1,0,0,0,Semi-Furnished,10,28.2860109,77.070812
vipul belmonte,Sector 53 ,13.5,34395.0,5,7,3+,10,North-East,Old Property,3328.0,0,1,0,0,0,Furnished,0,28.44063333333333,77.10173333333333
m3m heights,Sector 65 ,2.41,19112.0,2,2,3,18,North-East,Relatively New,1007.0,0,1,0,0,0,Semi-Furnished,17,28.40508522486428,77.06601439935743
ramprastha primera,Sector 37D ,1.85,10914.0,3,3,3,12,North-East,Relatively New,1511.0,1,1,1,1,0,Unknown,0,28.451557138888887,76.97356413888889
adani m2k oyster grande,Sector 102 ,2.51,13287.0,3,3,3,10,East,Moderately Old,1684.0,0,1,0,0,0,Semi-Furnished,8,28.4813633,76.9733898
m3m woodshire,Sector 107 ,1.4,9126.0,2,2,3,3,East,Relatively New,1290.0,1,0,0,0,0,Semi-Furnished,0,28.513814386928207,76.97523486313615
unitech harmony,Nirvana Country,3.72,14215.0,3,4,2,6,West,Relatively New,2450.0,0,1,0,0,0,Furnished,0,28.4098572,77.0581524
m3m woodshire,Sector 107 ,1.25,9151.0,2,2,3+,5,East,Relatively New,1217.0,0,1,0,0,0,Semi-Furnished,0,28.513928899722224,76.97362259972222
assotech blith,Sector 99 ,2.1,12463.0,3,3,3+,10,South,Relatively New,1322.0,0,1,0,0,0,Semi-Furnished,4,28.4567093,76.9621791
vipul lavanya,Sector 81 ,1.4,8974.0,3,3,3,10,South,Moderately Old,1281.0,0,1,0,0,0,Semi-Furnished,0,28.3871593,76.9405606
ireo victory valley,Sector 67 ,2.79,19443.0,2,2,2,7,East,Relatively New,1214.0,0,1,0,0,0,Semi-Furnished,10,28.387190946338286,77.06456869500371
m3m skycity,Sector 65 ,2.4,19033.0,2,3,3,24,North-East,Relatively New,1260.0,0,0,0,1,0,Semi-Furnished,20,28.4038128,77.0649197
bestech altura,Sector 79 ,3.51,13121.0,4,5,3,11,North,New Property,2384.0,0,1,0,0,0,Semi-Furnished,17,28.3568802,76.9729827
smartworld sky arc,Sector 69 ,5.3,19703.0,3,3,3,15,North,Under Construction,3092.0,0,1,0,0,0,Unknown,25,28.3966087,77.0362967
vipul lavanya,Sector 81 ,1.43,9167.0,3,3,3,11,North-East,Relatively New,1559.0,0,0,1,0,0,Semi-Furnished,7,28.387144444444445,76.94071666666667
godrej nature plus serenity,Sector-33 Sohna,2.0,10368.0,3,3,3+,9,North,New Property,1664.0,0,1,0,0,0,Semi-Furnished,10,28.2787547,77.0692945
ats tourmaline,Sector 109 ,2.45,11395.0,3,4,3+,15,South-East,Relatively New,1797.0,0,1,0,0,0,Semi-Furnished,6,28.5157051,77.004004
godrej air,Sector 85 ,2.94,13809.0,3,3,3,5,North,New Property,2447.0,0,1,0,0,0,Unknown,11,28.4067933,76.9522788
smart world gems,Sector 89 ,1.7,11371.0,3,3,2,1,North-East,New Property,1718.0,1,0,0,0,1,Unknown,0,28.42048611111112,76.95088333333334
paras dews,Sector 106 ,1.62,9730.0,3,3,3,7,East,Relatively New,1145.0,0,0,0,0,1,Unknown,24,28.4986995,76.9998191
bestech park view ananda,Sector 81 ,2.1,11602.0,3,3,3,12,East,Relatively New,1485.0,1,1,0,1,1,Semi-Furnished,0,28.3901515,76.9524126
godrej zenith,Sector 89 ,5.5,17611.0,4,4,3+,11,East,Under Construction,3590.0,0,1,0,0,0,Semi-Furnished,3,28.411256,76.952234
pareena mi casa,Sector 68 ,2.36,11806.0,3,4,3+,13,North-West,New Property,1925.0,0,1,0,0,0,Semi-Furnished,6,28.3880762,77.0416737
bptp freedom park life,Sector 57 ,3.4,14828.0,3,4,3+,8,West,Moderately Old,2290.0,0,1,0,0,0,Semi-Furnished,24,28.4225921,77.0683978
sare crescent parc,Sector 92 ,1.36,10256.0,3,3,3,6,North-East,Relatively New,1223.0,0,1,0,0,0,Unknown,0,28.412703944286,76.914061602923
m3m merlin,Sector 67 ,5.99,18168.0,4,4,3,21,East,Relatively New,2500.0,0,1,0,0,0,Semi-Furnished,1,28.389697615804707,77.05952054838953
bestech park view grand spa,Sector 81 ,4.6,13256.0,4,6,3+,14,West,Moderately Old,3093.0,0,1,0,0,0,Semi-Furnished,16,28.3922882,76.9526035
bestech park view grand spa,Sector 81 ,3.48,13083.0,3,4,3+,9,North,Moderately Old,2660.0,0,1,0,0,0,Semi-Furnished,1,28.392963,76.947674
orris carnation residency,Sector 85 ,1.36,9158.0,3,3,2,5,North,Relatively New,1707.0,0,0,0,0,1,Unknown,4,28.4042959,76.9500396
m3m golf hills,Sector 79 ,2.62,13789.0,3,3,3,22,North,Under Construction,1693.0,0,0,0,0,1,Semi-Furnished,4,28.378663910063867,76.9933271282215
emaar digihomes,Sector 62 ,5.4,20866.0,3,3,3,25,East,Relatively New,2307.0,0,1,0,1,0,Semi-Furnished,0,28.4039431,77.0849849
godrej air,Sector 85 ,2.5,13669.0,3,4,3+,10,North-East,New Property,1650.0,0,1,0,1,0,Furnished,0,28.406491666666664,76.95116111111112
conscient heritage one,Sector 62 ,4.1,20541.0,3,4,2,17,East,Relatively New,1553.0,0,1,0,0,0,Semi-Furnished,11,28.4025745,77.0890662
emaar mgf the palm drive,Sector 66 ,4.0,20513.0,3,3,2,7,East,Moderately Old,1920.0,1,0,0,0,0,Semi-Furnished,0,28.40169525,77.05374908333333
pioneer urban presidia,Sector 62 ,10.95,25248.0,5,5,3+,11,East,Relatively New,4330.0,0,1,0,1,1,Semi-Furnished,0,28.4120743,77.0897304
m3m soulitude,Sector 89 ,1.55,10375.0,3,3,3,2,North-East,Relatively New,1332.0,1,0,0,1,0,Semi-Furnished,25,28.418922399722224,76.94761099972223
apex our homes,Sector 37C ,0.6,6486.0,2,2,1,3,South,Relatively New,728.0,1,0,0,1,0,Semi-Furnished,0,28.446702777777777,76.98479166666667
m3m natura,Sector 68 ,1.6,12851.0,2,2,2,17,North-West,Moderately Old,1092.0,0,0,0,1,0,Semi-Furnished,0,28.375751472222223,77.04311369444444
emaar palm gardens,Sector 83 ,2.18,12674.0,3,3,3,5,North,Relatively New,1500.0,0,1,0,0,0,Semi-Furnished,25,28.395949999722223,76.97433569972222
mapsko mount ville,Sector 79 ,2.3,11735.0,3,4,2,18,East,Relatively New,1489.0,0,1,0,0,0,Unknown,0,28.36031871793827,76.96978185975703
godrej air,Sector 85 ,2.48,13559.0,3,3,3,28,North-East,New Property,1829.0,0,1,0,0,0,Semi-Furnished,21,28.406377683036546,76.95068150401991
emaar mgf palm terraces select,Sector 66 ,3.99,16522.0,4,4,3,5,East,Moderately Old,2312.0,0,1,0,0,0,Semi-Furnished,3,28.40098055555556,77.0554361111111
tata primanti,Sector 72 ,5.0,19608.0,3,3,3+,8,North,New Property,2000.0,0,1,0,0,0,Semi-Furnished,0,28.40586083031124,77.03606444753574
birla navya,Sector 63A ,4.3,16226.0,3,4,3+,2,North,Relatively New,2146.0,0,1,0,0,0,Semi-Furnished,3,28.39432595325696,77.0949291639167
central park resorts,Sector 48 ,7.25,29424.0,3,5,3,6,North-East,Relatively New,2196.0,1,1,0,1,0,Furnished,0,28.424,77.03597777777777
tata primanti,Sector 72 ,4.65,17714.0,4,5,3+,11,North-East,New Property,2200.0,0,1,0,0,0,Semi-Furnished,0,28.40631178855606,77.03613543439816
puri emerald bay,Sector 104 ,3.6,14694.0,3,4,3+,12,North-East,Relatively New,1960.0,0,1,0,0,0,Semi-Furnished,12,28.4819235,76.9908809
dlf new town heights 1,Sector 90 ,2.52,10660.0,4,4,3+,1,North,Relatively New,2107.0,0,1,0,1,0,Unknown,0,28.4082702,76.9315152
dlf new town heights 1,Sector 90 ,2.85,10451.0,4,4,3+,8,North-East,Moderately Old,2480.0,0,1,0,1,0,Unknown,0,28.4066033,76.93202329972223
mapsko royale ville,Sector 82 ,1.8,10056.0,3,4,2,7,South-West,Relatively New,1550.0,0,1,0,0,0,Semi-Furnished,1,28.396359078203783,76.96233632243742
ats tourmaline,Sector 109 ,2.14,12229.0,3,3,3+,10,East,Relatively New,1466.0,0,0,0,0,1,Semi-Furnished,1,28.5158028,77.0048415
emaar mgf the palm drive,Sector 66 ,6.5,19697.0,3,3,3+,4,North-East,Moderately Old,3022.0,1,1,1,1,0,Semi-Furnished,21,28.4023451,77.05137279972222
emaar mgf the palm drive,Sector 66 ,7.5,20833.0,4,5,3+,7,East,Moderately Old,3213.0,1,1,1,1,0,Semi-Furnished,21,28.400867,77.05396379999999
dlf park place,Sector 54 ,9.7,35649.0,4,4,3,10,East,Relatively New,2649.0,1,1,1,1,0,Semi-Furnished,0,28.442497222222222,77.10666944444444
hero homes,Sector 104 ,2.5,14802.0,3,3,3,12,North-West,New Property,1464.0,0,0,0,1,0,Semi-Furnished,0,28.48454971124727,76.99268786510828
orris aster court,Sector 85 ,1.55,9254.0,3,3,3,3,North,Moderately Old,1500.0,0,0,0,0,1,Semi-Furnished,24,28.4044462,76.9523318
smriti apartment,Sector 56 ,1.0,16667.0,1,1,1,2,North,Moderately Old,535.0,0,0,0,0,1,Semi-Furnished,0,28.42985,77.104357
dlf gardencity enclave,Sector 93 ,1.95,27083.0,3,3,1,4,North,New Property,720.0,0,0,0,0,1,Unknown,0,28.418795490602,76.929850252833
mahindra luminare,Sector 59 ,7.0,23451.0,3,3,2,9,North-East,Relatively New,2584.0,0,1,0,0,0,Semi-Furnished,16,28.4099376,77.1084461
orris aster court premier,Sector 85 ,1.95,9198.0,3,4,2,10,East,Moderately Old,1616.0,0,1,0,0,0,Semi-Furnished,4,28.404632555555555,76.95288847222223
eldeco accolade,Sohna,2.4,11310.0,3,4,3+,2,East,New Property,1679.0,0,1,0,0,0,Semi-Furnished,8,28.2594305,77.064234
tulip violet,Sector 69 ,2.35,14892.0,3,3,3,10,North-East,Moderately Old,1420.0,0,0,0,1,0,Semi-Furnished,0,28.39224722222222,77.03370277777778
umang winter hills,Sector 77 ,1.36,10134.0,2,2,2,4,South-East,Moderately Old,1133.0,0,0,0,0,1,Semi-Furnished,0,28.3813795,76.9793583
ashiana anmol,Sohna,1.73,11329.0,3,3,2,9,South-East,New Property,1253.0,0,0,0,0,1,Semi-Furnished,10,28.2866751,77.0711692
ireo uptown,Sector 66 ,3.49,18763.0,3,3,2,15,East,Moderately Old,1780.0,0,1,0,0,0,Semi-Furnished,0,28.395919444444445,77.05856388888888
godrej nature plus,Sector-33 Sohna,2.05,10627.0,3,3,3+,2,North-East,New Property,1719.0,1,1,0,1,0,Semi-Furnished,24,28.279297222222223,77.068675
dlf the primus,Sector 82A ,3.65,17498.0,3,4,3+,10,North,Moderately Old,1876.0,0,1,0,0,0,Furnished,17,28.387536,76.965131
godrej air,Sector 85 ,2.65,14489.0,3,3,3+,16,North,Relatively New,2102.0,1,1,1,1,0,Semi-Furnished,21,28.407441666666664,76.95117777777779
hero homes,Sector 104 ,1.65,15014.0,2,2,2,16,North-East,Relatively New,820.0,1,1,1,1,0,Semi-Furnished,6,28.483567060896537,76.99359377910217
dlf hamilton court,DLF Phase 4,7.0,26326.0,3,5,3+,10,North,Old Property,2640.0,0,1,0,1,0,Semi-Furnished,9,28.463529,77.0864644
balidan heights,Sector 52 ,4.95,14143.0,5,5,3+,8,East,New Property,2709.0,0,1,0,0,0,Furnished,0,28.430822299722223,77.07651919999999
signature global city 81,Sector 81 ,1.41,11750.0,3,2,3+,4,South,New Property,1070.0,0,1,0,0,0,Semi-Furnished,0,28.3893777,76.9444244
godrej air,Sector 85 ,3.64,14000.0,4,4,3,4,North-West,New Property,2599.0,1,1,1,1,0,Unknown,13,28.408205227507864,76.95268144592524
emaar imperial gardens,Sector 102 ,2.39,11950.0,3,4,3+,8,North-East,Relatively New,1783.0,0,1,0,0,0,Semi-Furnished,24,28.4796368,76.9685414
pioneer park,Sector 61 ,4.7,18431.0,4,5,3+,8,North-East,Moderately Old,2320.0,0,1,0,0,0,Semi-Furnished,5,28.415946,77.09187797222222
signature global titanium spr,Sector 71 ,4.9,17626.0,3,4,3+,16,North-East,Under Construction,2503.0,1,1,0,0,0,Furnished,0,28.411167241078,77.023357386496
dlf regal gardens,Sector 90 ,2.85,12809.0,4,4,3,8,North-East,New Property,2200.0,0,0,0,1,0,Semi-Furnished,24,28.406705833333334,76.93327330555556
central park flower valley,Sector-33 Sohna,1.75,13566.0,3,2,2,1,East,Moderately Old,1483.0,0,0,0,1,0,Unknown,3,28.284245887015,77.06930093952
smart world gems,Sector 89 ,1.7,11379.0,3,3,2,2,East,New Property,1494.0,0,0,0,1,0,Unknown,3,28.424778565185,76.949529893933
godrej meridien,Sector 106 ,3.15,15734.0,3,3,3,8,East,New Property,2002.0,0,1,0,0,0,Unknown,6,28.5067,76.98894444444444
godrej meridien,Sector 106 ,3.3,16484.0,3,4,3+,5,East,New Property,1591.0,0,1,0,0,0,Semi-Furnished,6,28.50953611111111,76.98968611111111
krisumi waterfall residences,Sector 36A ,4.7,18519.0,3,3,2,16,North-East,New Property,2262.0,1,0,0,0,0,Semi-Furnished,0,28.41743333333333,76.97473611111111
puri emerald bay,Sector 104 ,3.45,14082.0,3,4,3+,9,North-East,Relatively New,2184.0,0,1,0,0,0,Semi-Furnished,2,28.4837117,76.9940921
puri diplomatic residences,Sector 111 ,4.34,17787.0,3,3,2,11,East,New Property,2114.0,1,0,0,0,0,Semi-Furnished,0,28.5184389,77.0286134
parsvnath green ville,Sector 48 ,3.32,18599.0,3,3,3,3,East,Relatively New,1665.0,0,0,0,0,1,Semi-Furnished,0,28.407652777777777,77.04305833333333
dlf the pinnacle,DLF Phase 5,12.75,31136.0,4,5,3+,3,North-East,Relatively New,3650.0,0,1,0,0,0,Semi-Furnished,1,28.45242777777778,77.09549722222222
raheja atharva,Sector 109 ,1.75,9685.0,3,2,2,8,West,Moderately Old,1610.0,0,1,0,0,0,Semi-Furnished,0,28.5089737,77.0079666
gls arawali homes,Sohna,0.46,9664.0,2,2,2,7,South,Relatively New,457.0,1,1,0,1,0,Unknown,4,28.2622055,77.0826422
tulip yellow,Sector 69 ,2.18,12793.0,3,3,3+,8,East,Relatively New,1466.0,1,1,0,1,0,Unknown,25,28.3934897,77.0382764
dlf regal gardens,Sector 90 ,2.2,12666.0,3,3,3,14,North-East,Moderately Old,1537.0,1,1,0,1,0,Semi-Furnished,11,28.40773597222222,76.93486597222223
bestech altura,Sector 79 ,3.4,12710.0,4,5,3,6,East,Relatively New,2250.0,0,1,0,1,0,Semi-Furnished,20,28.3559478,76.9737073
godrej habitat,Sector 3 ,1.53,10596.0,2,2,3,12,North,New Property,1660.0,0,1,0,1,0,Semi-Furnished,25,28.483847222222224,77.01349722222223
